Xe_ID,Thoi_gian_chay,Do_lech,Gia_tri_ham_muc_tieu,local_time
22,156.0,44.6154,105.027,2025-06-06_05-28-46
16,202.0,99.4845,96.5968,2025-06-06_05-28-46
28,140.0,12.5692,121.141,2025-06-06_05-29-01
34,216.0,46.4138,163.101,2025-06-06_05-29-01
22,222.0,81.3783,134.984,2025-06-06_05-29-01
16,247.0,67.1343,177.842,2025-06-06_05-29-01
28,140.0,21.5982,118.433,2025-06-06_05-29-18
40,138.0,34.2465,104.234,2025-06-06_05-29-18
52,152.0,31.2449,119.345,2025-06-06_05-29-18
58,164.0,36.7533,126.317,2025-06-06_05-29-18
34,182.0,51.0965,130.88,2025-06-06_05-29-18
22,188.0,63.3765,119.789,2025-06-06_05-29-18
46,204.0,54.3563,143.456,2025-06-06_05-29-18
16,247.0,103.723,140.556,2025-06-06_05-29-18
16,102.112,40.8672,88.8438,2025-06-06_06-14-05
22,231.347,27.948,167.33,2025-06-06_06-14-05
28,153.922,49.3018,96.9806,2025-06-06_06-14-05
34,135.341,41.6647,96.4449,2025-06-06_06-14-05
40,125.531,39.453,87.592,2025-06-06_06-14-05
46,143.531,37.742,95.896,2025-06-06_06-14-05
52,179.549,35.924,123.958,2025-06-06_06-14-05
58,230.858,64.0612,164.982,2025-06-06_06-14-05
64,178.796,31.313,128.759,2025-06-06_06-14-05
70,188.293,49.945,142.425,2025-06-06_06-14-05
76,158.341,27.143,117.463,2025-06-06_06-14-05
82,143.754,25.629,125.352,2025-06-06_06-14-05
88,167.513,46.4838,124.467,2025-06-06_06-14-05
94,187.238,21.452,148.815,2025-06-06_06-14-05
100,102.249,49.364,138.757,2025-06-06_06-14-05
106,112.24,11.934,122.984,2025-06-06_06-14-05
